location,date,new_cases
United Kingdom,31/01/2020,2
United Kingdom,01/02/2020,0
United Kingdom,02/02/2020,0
United Kingdom,03/02/2020,6
United Kingdom,04/02/2020,0
United Kingdom,05/02/2020,1
United Kingdom,06/02/2020,0
United Kingdom,07/02/2020,0
United Kingdom,08/02/2020,4
United Kingdom,09/02/2020,1
United Kingdom,10/02/2020,0
United Kingdom,11/02/2020,1
United Kingdom,12/02/2020,1
United Kingdom,13/02/2020,1
United Kingdom,14/02/2020,1
United Kingdom,15/02/2020,0
United Kingdom,16/02/2020,0
United Kingdom,17/02/2020,1
United Kingdom,18/02/2020,0
United Kingdom,19/02/2020,1
United Kingdom,20/02/2020,2
United Kingdom,21/02/2020,1
United Kingdom,22/02/2020,0
United Kingdom,23/02/2020,5
United Kingdom,24/02/2020,2
United Kingdom,25/02/2020,4
United Kingdom,26/02/2020,3
United Kingdom,27/02/2020,7
United Kingdom,28/02/2020,12
United Kingdom,29/02/2020,5
United Kingdom,01/03/2020,33
United Kingdom,02/03/2020,40
United Kingdom,03/03/2020,55
United Kingdom,04/03/2020,57
United Kingdom,05/03/2020,49
United Kingdom,06/03/2020,79
United Kingdom,07/03/2020,55
United Kingdom,08/03/2020,54
United Kingdom,09/03/2020,147
United Kingdom,10/03/2020,259
United Kingdom,11/03/2020,412
United Kingdom,12/03/2020,489
United Kingdom,13/03/2020,480
United Kingdom,14/03/2020,364
United Kingdom,15/03/2020,443
United Kingdom,16/03/2020,615
United Kingdom,17/03/2020,770
United Kingdom,18/03/2020,1006
United Kingdom,19/03/2020,1066
United Kingdom,20/03/2020,1258
United Kingdom,21/03/2020,1215
United Kingdom,22/03/2020,1388
United Kingdom,23/03/2020,2349
United Kingdom,24/03/2020,2382
United Kingdom,25/03/2020,2717
United Kingdom,26/03/2020,3127
United Kingdom,27/03/2020,3249
United Kingdom,28/03/2020,2843
United Kingdom,29/03/2020,2892
United Kingdom,30/03/2020,4327
United Kingdom,31/03/2020,4534
United Kingdom,01/04/2020,4974
United Kingdom,02/04/2020,4929
United Kingdom,03/04/2020,4981
United Kingdom,04/04/2020,4073
United Kingdom,05/04/2020,3650
United Kingdom,06/04/2020,5316
United Kingdom,07/04/2020,5486
United Kingdom,08/04/2020,5163
United Kingdom,09/04/2020,4906
United Kingdom,10/04/2020,4367
United Kingdom,11/04/2020,3613
United Kingdom,12/04/2020,3539
United Kingdom,13/04/2020,4205
United Kingdom,14/04/2020,4348
United Kingdom,15/04/2020,5100
United Kingdom,16/04/2020,5343
United Kingdom,17/04/2020,4990
United Kingdom,18/04/2020,4736
United Kingdom,19/04/2020,3860
United Kingdom,20/04/2020,4866
United Kingdom,21/04/2020,4775
United Kingdom,22/04/2020,5505
United Kingdom,23/04/2020,5168
